Title,Authors,Venue,Date,Citations,arXiv,Focus
"Medusa: Simple LLM Inference Acceleration Framework with Multiple Decoding Heads","Tianle Cai, Yuhong Li, Zhengyang Geng, Hongwu Peng, Jason D. Lee, Beidi Chen, Tri Dao",ICML,2024-01-19,828,https://arxiv.org/pdf/2401.10774.pdf,Speculative Decoding
"KVQuant: Towards 10 Million Context Length LLM Inference with KV Cache Quantization","Coleman Hooper, Sehoon Kim, Hiva Mohammadzadeh, Michael W. Mahoney, Yakun Sophia Shao, Kurt Keutzer, Amir Gholami",NeurIPS,2024-01-31,600,https://arxiv.org/pdf/2401.18079.pdf,KV Cache Compression
"Break the Sequential Dependency of LLM Inference Using Lookahead Decoding","Yichao Fu, Peter Bailis, Ion Stoica, Hao Zhang",ICML,2024-02-03,341,https://arxiv.org/pdf/2402.02057.pdf,Speculative Decoding
"Unlocking Efficiency in Large Language Model Inference: A Comprehensive Survey of Speculative Decoding","Heming Xia, Zhe Yang, Qingxiu Dong, Peiyi Wang, Yongqi Li, Tao Ge, Tianyu Liu, Wenjie Li, Zhifang Sui",ACL,2024-01-15,302,https://arxiv.org/pdf/2401.07851.pdf,Speculative Decoding Survey
"DuoAttention: Efficient Long-Context LLM Inference with Retrieval and Streaming Heads","Guangxuan Xiao, Jiaming Tang, Jingwei Zuo, Junxian Guo, Shang Yang, Haotian Tang, Yao Fu, Song Han",ICLR,2024-10-14,280,https://arxiv.org/pdf/2410.10819.pdf,KV Cache Compression
"Ada-KV: Optimizing KV Cache Eviction by Adaptive Budget Allocation for Efficient LLM Inference","Yuan Feng, Junlin Lv, Yukun Cao, Xike Xie, S. Kevin Zhou",NeurIPS,2024-07-16,197,https://arxiv.org/pdf/2407.11550.pdf,KV Cache Compression
"PyramidInfer: Pyramid KV Cache Compression for High-throughput LLM Inference","Dongjie Yang, Xiaodong Han, Yan Gao, Yao Hu, Shilin Zhang, Hai Zhao",ACL,2024-05-21,161,https://arxiv.org/pdf/2405.12532.pdf,KV Cache Compression
"ShadowKV: KV Cache in Shadows for High-Throughput Long-Context LLM Inference","Hanshi Sun, Li-Wen Chang, Wenlei Bao, Size Zheng, Ningxin Zheng, Xin Liu, Harry Dong, Yuejie Chi, Beidi Chen",ICML,2024-10-28,110,https://arxiv.org/pdf/2410.21465.pdf,KV Cache Compression
"Cascade Speculative Drafting for Even Faster LLM Inference","Ziyi Chen, Xiaocong Yang, Jiacheng Lin, Chenkai Sun, Jie Huang, Kevin Chen-Chuan Chang",NeurIPS,2023-12-18,101,https://arxiv.org/pdf/2312.11462.pdf,Speculative Decoding
"Get More with LESS: Synthesizing Recurrence with KV Cache Compression for Efficient LLM Inference","Harry Dong, Xinyu Yang, Zhenyu (Allen) Zhang, Zhangyang Wang, Yuejie Chi, Beidi Chen",ICML,2024-02-14,93,https://arxiv.org/pdf/2402.09398.pdf,KV Cache Compression
